field_name,alias,field_type,data_type,display_type,default_value,mandatory,description,title,field_notation,fields,internal_only,sequence,hidden,editable,meta
mobile_email_verification_section,,layout,str,section_break,,FALSE,Help text,Mobile & Email Verification,,,TRUE,6118,,,
pan_verification_section,,layout,str,section_break,,FALSE,Help text,PAN Verification,,,TRUE,6128,,,
identity_address_verification_section,,layout,str,section_break,,FALSE,Help text,Identity and Address Verification,,,TRUE,6139,,,
signature_validation_section,,layout,str,section_break,,FALSE,Help Text,Signature Validation,,,TRUE,6181,,,
liveness_photo_capture_section,,layout,str,section_break,,FALSE,Help Text,Photo Capture,,,TRUE,6181,not $.application_details.kyc_digilocker = 'YES',,
liveness_check_section,,layout,str,section_break,,FALSE,Help text,Liveness Check,,,TRUE,6189,not $.application_details.kyc_digilocker = 'YES',,
declarations_section,,layout,str,section_break,,FALSE,Helper text,Declarations,,,TRUE,6199,,,
upload_documents_section,,layout,str,section_break,,FALSE,Helper text,Upload Documents,,,TRUE,6199,not $.application_details.kyc_digilocker = 'NO',,
kyc_holder,,compound,str,groupbox,,FALSE,,KYC Holder,,"mobile_email_verification_section,mobile_email_verification,pan_verification_section,pan_verification,identity_address_verification_section,identity_address_verification,signature_validation_section,signature_validation,liveness_photo_capture_section,liveness_photo_capture,liveness_check_section,liveness_check,declarations_section,declarations,upload_documents_section,upload_pdf_attachments",FALSE,6244,,,
